MonthYear,DATE,RETURN
2012-10-01,2012-09-28,2.5722438895474884
2012-11-01,2012-10-31,-1.6882460114712168
2012-12-01,2012-11-30,0.7944510847251784
2013-01-01,2012-12-31,1.037058255872059
2013-02-01,2013-01-31,5.423374776412969
2013-03-01,2013-02-28,1.3435339828873791
2013-04-01,2013-03-28,3.8605503516135227
2013-05-01,2013-04-30,1.805853957589632
2013-06-01,2013-05-31,2.224408260336319
2013-07-01,2013-06-28,-1.362840083434214
2013-08-01,2013-07-31,5.350787626719899
2013-09-01,2013-08-30,-2.7582434100635993
2013-10-01,2013-09-30,3.486945646192274
2013-11-01,2013-10-31,4.4019832268908035
2013-12-01,2013-11-29,2.805712386410897
2014-01-01,2013-12-31,2.697762990691288
2014-02-01,2014-01-31,-3.1938433713004635
2014-03-01,2014-02-28,4.746576580015427
2014-04-01,2014-03-31,0.6369493151070937
2014-05-01,2014-04-30,0.4706469921037293
2014-06-01,2014-05-30,2.2979218499563645
2014-07-01,2014-06-30,2.274551057936769
2014-08-01,2014-07-31,-1.617007278677396
2014-09-01,2014-08-29,4.132004360157482
2014-10-01,2014-09-30,-1.7531029847407842
2014-11-01,2014-10-31,2.44394968811521
2014-12-01,2014-11-28,2.6180823198844294
2015-01-01,2014-12-31,-0.2329711317579752
2015-02-01,2015-01-30,-2.7467358017802757
2015-03-01,2015-02-27,5.7780681359938875
2015-04-01,2015-03-31,-1.245260951240346
2015-05-01,2015-04-30,0.7098706925959597
2015-06-01,2015-05-29,1.308273068769905
2015-07-01,2015-06-30,-1.875974481487386
2015-08-01,2015-07-31,1.927508194558114
2015-09-01,2015-08-31,-6.0153116772977535
2015-10-01,2015-09-30,-2.7407712433966105
2015-11-01,2015-10-30,8.090851623877036
2015-12-01,2015-11-30,0.3303439940964159
2016-01-01,2015-12-31,-1.799034735711991
2016-02-01,2016-01-29,-5.382417487152091
2016-03-01,2016-02-29,-0.03431266804009292
2016-04-01,2016-03-31,6.966083207239504
2016-05-01,2016-04-29,0.5438210025046519
2016-06-01,2016-05-31,1.751178226955319
2016-07-01,2016-06-30,0.2264522574269678
2016-08-01,2016-07-29,3.8094468207721333
2016-09-01,2016-08-31,0.1328573886922202
2016-10-01,2016-09-30,0.07914423932087189
2016-11-01,2016-10-31,-1.9500063577223998
2016-12-01,2016-11-30,3.942360547770041
2017-01-01,2016-12-30,1.878686022433751
2017-02-01,2017-01-31,2.010861775653527
2017-03-01,2017-02-28,3.870802637771753
2017-04-01,2017-03-31,0.0631764835835158
2017-05-01,2017-04-28,1.057235151445357
2017-06-01,2017-05-31,1.276228347486819
2017-07-01,2017-06-30,0.6982236168223688
2017-08-01,2017-07-31,1.980354557579811
2017-09-01,2017-08-31,0.3128062286696487
2017-10-01,2017-09-29,2.12951588764525
2017-11-01,2017-10-31,2.2935891507679163
2017-12-01,2017-11-30,3.049608186284325
2018-01-01,2017-12-29,1.114806514024269
2018-02-01,2018-01-31,5.489320644556762
2018-03-01,2018-02-28,-3.671336090944122
2018-04-01,2018-03-29,-2.2697670716062768
2018-05-01,2018-04-30,0.3398786266192388
2018-06-01,2018-05-31,2.5526104776661733
2018-07-01,2018-06-29,0.6466633332358862
2018-08-01,2018-07-31,3.4511448540265333
2018-09-01,2018-08-31,3.4457365279594088
2018-10-01,2018-09-28,0.37972460270179204
2018-11-01,2018-10-31,-7.076333041939753
2018-12-01,2018-11-30,2.035063235463963
2019-01-01,2018-12-31,-9.107696568337486
2019-02-01,2019-01-31,8.380327666741438
2019-03-01,2019-02-28,3.3858476358271656
2019-04-01,2019-03-29,1.740952540816032
2019-05-01,2019-04-30,4.0384104540731816
2019-06-01,2019-05-31,-6.3724231051518245
2019-07-01,2019-06-28,7.020411788543267
2019-08-01,2019-07-31,1.55298679874345
2019-09-01,2019-08-30,-1.8315522559806168
